HHID,PERSID,VPLID,RitID,HH_VALID,P_VALID,KHVM,WEGGEWEEST,VERTREKP,AANTVPL,VPLDAGNR,VERPL,VERPLNR,TOER,TOER_TYPE,AANTRIT,KMOTIEF,VERTPROV,AANKPROV,KAFSTV,KVERTTIJD,KREISDUUR,ROLAUTO,PARKEERKOSTEN,VERTRAGING,DAGSOORT,OORDEEL_AUTO,OORDEEL_TREIN,OORDEEL_BTM,OORDEEL_FIETS,OORDEEL_BROMMER,OORDEEL_LOPEN,GEBRUIK_AUTO_STELLING3,GEBRUIK_AUTO_STELLING4,GEBRUIK_TREIN_STELLING3,GEBRUIK_TREIN_STELLING4,GEBRUIK_BTM_STELLING3,GEBRUIK_BTM_STELLING4,GEBRUIK_FIETS_STELLING2,GEBRUIK_FIETS_STELLING3,GEBRUIK_LOPEN_STELLING3,GEBRUIK_LOPEN_STELLING4,HHPERS,HHSAM,N_KIND,HHBRUTOINK2_w5,HHAUTO_N,HHAUTO,HHBESTEL,HHHYBRID,HHMOTOR,HHBROM,HHSNOR,HHFIETS,HHVOUWFIETS,HHEBIKE
30865286,3086528601,14844303,1484430301,2,3,6,1,1,3,3,1,3,0,9,1,4,27,27,3,6,3,0,0,0,2,3,4,4,5,1,5,5,3,1,5,2,4,5,4,4,5,1,1,0,4,1,1,0,0,0,0,0,1,1,0
30865286,3086528601,14844207,1484420701,2,3,2,1,1,7,2,1,7,0,9,1,7,27,27,1,10,1,2,0,0,2,3,4,4,5,1,5,5,3,1,5,2,4,5,4,4,5,1,1,0,4,1,1,0,0,0,0,0,1,1,0
30865286,3086528601,14844105,1484410501,2,3,1,1,1,5,1,1,5,0,9,1,4,27,27,3,8,1,1,0,0,1,3,4,4,5,1,5,5,3,1,5,2,4,5,4,4,5,1,1,0,4,1,1,0,0,0,0,0,1,1,0
30865286,3086528601,14844205,1484420501,2,3,1,1,1,7,2,1,5,0,9,1,4,27,27,3,6,1,1,0,0,2,3,4,4,5,1,5,5,3,1,5,2,4,5,4,4,5,1,1,0,4,1,1,0,0,0,0,0,1,1,0
30589878,3058987802,16576304,1657630401,2,3,6,1,2,7,3,1,4,0,9,1,3,27,27,1,5,2,0,0,0,1,4,5,4,5,4,4,4,3,4,4,4,4,5,5,2,4,1,1,0,2,0,0,0,0,0,0,0,1,0,0
30851017,3085101701,20113203,2011320301,2,3,1,1,1,10,2,1,3,0,9,1,4,27,27,4,4,4,1,0,0,1,5,2,2,3,4,4,5,5,1,4,1,4,2,2,2,5,4,3,2,3,1,1,0,0,0,0,0,1,0,0
30272371,3027237101,17093102,1709310201,2,3,1,1,2,5,1,1,2,0,9,1,7,27,27,6,5,3,1,0,0,1,5,4,4,5,3,5,5,5,2,4,2,3,4,2,2,4,3,3,0,5,2,1,0,0,0,0,0,1,0,0
30272371,3027237105,17095201,1709520101,2,3,6,1,2,8,2,1,1,0,9,1,6,27,27,7,1,5,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,2,3,2,4,3,3,0,5,2,1,0,0,0,0,0,1,0,0
30272371,3027237102,17094303,1709430301,2,3,7,1,2,5,3,1,3,1,4,1,8,27,27,3,6,7,0,0,0,2,5,3,3,5,2,5,4,4,2,4,2,4,4,2,2,4,3,3,0,5,2,1,0,0,0,0,0,1,0,0
30272371,3027237105,17095208,1709520801,2,3,6,1,2,8,2,1,8,0,9,1,6,28,27,7,13,6,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,2,3,2,4,3,3,0,5,2,1,0,0,0,0,0,1,0,0
30272371,3027237105,17095104,1709510401,2,3,6,1,2,5,1,1,4,0,9,1,1,28,27,7,11,7,0,0,0,1,4,4,4,4,4,4,4,4,4,4,4,4,2,3,2,4,3,3,0,5,2,1,0,0,0,0,0,1,0,0
30272371,3027237105,17095203,1709520301,2,3,6,1,2,8,2,1,3,0,9,1,1,28,27,7,6,7,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,2,3,2,4,3,3,0,5,2,1,0,0,0,0,0,1,0,0
30272371,3027237102,17094302,1709430201,2,3,1,1,2,5,3,1,2,0,9,1,1,28,27,8,6,5,1,0,0,2,5,3,3,5,2,5,4,4,2,4,2,4,4,2,2,4,3,3,0,5,2,1,0,0,0,0,0,1,0,0
30272371,3027237105,17095102,1709510201,2,3,4,1,2,5,1,1,2,0,9,3,5,28,27,9,5,9,0,0,0,1,4,4,4,4,4,4,4,4,4,4,4,4,2,3,2,4,3,3,0,5,2,1,0,0,0,0,0,1,0,0
30272371,3027237105,17095102,1709510202,2,3,4,1,2,5,1,0,2,0,9,3,5,28,27,9,5,9,0,0,0,1,4,4,4,4,4,4,4,4,4,4,4,4,2,3,2,4,3,3,0,5,2,1,0,0,0,0,0,1,0,0
30272371,3027237105,17095102,1709510203,2,3,4,1,2,5,1,0,2,0,9,3,5,28,27,9,5,9,0,0,0,1,4,4,4,4,4,4,4,4,4,4,4,4,2,3,2,4,3,3,0,5,2,1,0,0,0,0,0,1,0,0
30272371,3027237101,17093105,1709310501,2,3,1,1,2,5,1,1,5,0,9,1,7,28,27,4,9,3,1,0,0,1,5,4,4,5,3,5,5,5,2,4,2,3,4,2,2,4,3,3,0,5,2,1,0,0,0,0,0,1,0,0
30272371,3027237102,17094103,1709410301,2,3,1,1,2,3,1,1,3,0,9,1,4,28,27,3,8,2,1,0,0,1,5,3,3,5,2,5,4,4,2,4,2,4,4,2,2,4,3,3,0,5,2,1,0,0,0,0,0,1,0,0
30272371,3027237102,17094203,1709420301,2,3,1,1,2,5,2,1,3,0,9,1,4,28,27,3,5,2,1,0,0,2,5,3,3,5,2,5,4,4,2,4,2,4,4,2,2,4,3,3,0,5,2,1,0,0,0,0,0,1,0,0
30272371,3027237102,17094205,1709420501,2,3,1,1,2,5,2,1,5,0,9,1,4,28,27,3,8,2,1,0,0,2,5,3,3,5,2,5,4,4,2,4,2,4,4,2,2,4,3,3,0,5,2,1,0,0,0,0,0,1,0,0
30272371,3027237102,17094305,1709430501,2,3,1,1,2,5,3,1,5,0,9,1,4,28,27,3,8,2,1,0,0,2,5,3,3,5,2,5,4,4,2,4,2,4,4,2,2,4,3,3,0,5,2,1,0,0,0,0,0,1,0,0
30272371,3027237105,17095302,1709530201,2,3,6,1,2,2,3,1,2,0,9,1,4,28,27,3,7,4,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,2,3,2,4,3,3,0,5,2,1,0,0,0,0,0,1,0,0
30272371,3027237101,17093202,1709320201,2,3,1,1,2,2,2,1,2,0,9,1,1,28,27,11,8,7,1,0,0,2,5,4,4,5,3,5,5,5,2,4,2,3,4,2,2,4,3,3,0,5,2,1,0,0,0,0,0,1,0,0
30272371,3027237101,17093302,1709330201,2,3,1,1,2,2,3,1,2,0,9,1,1,28,27,11,8,7,1,0,0,2,5,4,4,5,3,5,5,5,2,4,2,3,4,2,2,4,3,3,0,5,2,1,0,0,0,0,0,1,0,0
30272371,3027237105,17095207,1709520701,2,3,3,1,2,8,2,1,7,0,9,5,6,27,28,11,13,9,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,2,3,2,4,3,3,0,5,2,1,0,0,0,0,0,1,0,0
30272371,3027237105,17095207,1709520702,2,3,3,1,2,8,2,0,7,0,9,5,6,27,28,11,13,9,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,2,3,2,4,3,3,0,5,2,1,0,0,0,0,0,1,0,0
30272371,3027237105,17095207,1709520703,2,3,3,1,2,8,2,0,7,0,9,5,6,27,28,11,13,9,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,2,3,2,4,3,3,0,5,2,1,0,0,0,0,0,1,0,0
30272371,3027237105,17095207,1709520704,2,3,3,1,2,8,2,0,7,0,9,5,6,27,28,11,13,9,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,2,3,2,4,3,3,0,5,2,1,0,0,0,0,0,1,0,0
30272371,3027237105,17095207,1709520705,2,3,3,1,2,8,2,0,7,0,9,5,6,27,28,11,13,9,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,2,3,2,4,3,3,0,5,2,1,0,0,0,0,0,1,0,0
30272371,3027237105,17095204,1709520401,2,3,6,1,2,8,2,1,4,0,9,1,6,27,28,7,7,8,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,2,3,2,4,3,3,0,5,2,1,0,0,0,0,0,1,0,0
30272371,3027237105,17095103,1709510301,2,3,6,1,2,5,1,1,3,0,9,1,1,27,28,7,8,7,0,0,0,1,4,4,4,4,4,4,4,4,4,4,4,4,2,3,2,4,3,3,0,5,2,1,0,0,0,0,0,1,0,0
30272371,3027237105,17095202,1709520201,2,3,6,1,2,8,2,1,2,0,9,1,1,27,28,7,3,7,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,2,3,2,4,3,3,0,5,2,1,0,0,0,0,0,1,0,0
30829198,3082919802,13460301,1346030101,2,3,1,1,1,4,3,1,1,0,9,1,1,27,27,12,4,7,1,0,0,1,5,4,4,5,3,5,5,5,2,4,2,3,5,4,3,4,5,3,0,7,4,1,1,1,0,1,0,1,0,0
30780798,3078079801,20359202,2035920201,2,3,2,1,1,5,2,1,2,0,9,1,2,27,27,8,4,4,2,0,0,1,4,4,4,4,2,4,4,4,3,4,4,4,4,4,2,2,1,1,0,3,0,0,0,0,0,0,0,1,0,0
30011367,3001136701,14811109,1481110901,2,3,1,1,1,10,1,1,9,0,9,1,7,27,27,6,12,3,1,0,0,1,4,3,3,4,4,4,4,4,2,5,2,4,4,3,3,4,4,3,2,4,2,1,0,0,1,0,0,1,0,0
30613314,3061331402,19423105,1942310501,2,3,1,1,1,6,1,1,5,0,9,1,7,27,28,8,10,7,1,0,0,2,4,4,4,2,1,4,4,4,3,4,2,3,4,4,2,4,1,1,0,4,1,1,0,0,0,0,0,0,0,0
30903863,3090386301,20378302,2037830201,2,3,1,1,1,7,3,1,2,0,9,1,9,27,28,10,4,7,1,0,0,1,5,4,4,5,4,5,6,4,6,6,2,4,4,3,3,4,2,2,0,4,1,1,0,0,0,0,0,0,0,1
30903863,3090386301,20378103,2037810301,2,3,1,1,1,4,1,1,3,0,9,1,6,27,28,8,9,4,1,0,0,1,5,4,4,5,4,5,6,4,6,6,2,4,4,3,3,4,2,2,0,4,1,1,0,0,0,0,0,0,0,1
30903863,3090386301,20378201,2037820101,2,3,2,1,1,2,2,1,1,0,9,1,9,27,28,8,4,4,2,0,0,1,5,4,4,5,4,5,6,4,6,6,2,4,4,3,3,4,2,2,0,4,1,1,0,0,0,0,0,0,0,1
30903863,3090386302,20379103,2037910301,2,3,2,1,1,4,1,1,3,0,9,1,6,27,28,8,9,4,2,0,0,1,4,4,4,5,3,5,4,4,3,3,4,4,5,4,4,4,2,2,0,4,1,1,0,0,0,0,0,0,0,1
30903863,3090386302,20379201,2037920101,2,3,1,1,1,2,2,1,1,0,9,1,9,27,28,8,4,4,1,0,0,1,4,4,4,5,3,5,4,4,3,3,4,4,5,4,4,4,2,2,0,4,1,1,0,0,0,0,0,0,0,1
30272371,3027237102,17094101,1709410101,2,3,1,1,2,3,1,1,1,0,9,1,2,27,28,8,5,5,1,0,0,1,5,3,3,5,2,5,4,4,2,4,2,4,4,2,2,4,3,3,0,5,2,1,0,0,0,0,0,1,0,0
