Variable,Var_description,Value,Label,Measurement_level,BaseData_Type,Name_BaseData,Filter_Variables
AUTO_STELLING_W6_03,Driving a car is my hobby,6,No opinion,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_03,Driving a car is my hobby,7,"Not asked, person is younger than 17 years old",Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_04,Driving a car gives me a kick,1,strongly disagree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_04,Driving a car gives me a kick,2,Somewhat disagree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_04,Driving a car gives me a kick,3,Neutral,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_04,Driving a car gives me a kick,4,Somewhat agree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_04,Driving a car gives me a kick,5,strongly agree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_04,Driving a car gives me a kick,6,No opinion,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_04,Driving a car gives me a kick,7,"Not asked, person is younger than 17 years old",Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_05,Driving a car is sporty and adventurous,1,strongly disagree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_05,Driving a car is sporty and adventurous,2,Somewhat disagree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_05,Driving a car is sporty and adventurous,3,Neutral,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_05,Driving a car is sporty and adventurous,4,Somewhat agree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_05,Driving a car is sporty and adventurous,5,strongly agree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_05,Driving a car is sporty and adventurous,6,No opinion,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_05,Driving a car is sporty and adventurous,7,"Not asked, person is younger than 17 years old",Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_06,A car says a lot about someone's status in society,1,strongly disagree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_06,A car says a lot about someone's status in society,2,Somewhat disagree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_06,A car says a lot about someone's status in society,3,Neutral,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_06,A car says a lot about someone's status in society,4,Somewhat agree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_06,A car says a lot about someone's status in society,5,strongly agree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_06,A car says a lot about someone's status in society,6,No opinion,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_06,A car says a lot about someone's status in society,7,"Not asked, person is younger than 17 years old",Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_07,I like driving a nice car,1,strongly disagree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_07,I like driving a nice car,2,Somewhat disagree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_07,I like driving a nice car,3,Neutral,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_07,I like driving a nice car,4,Somewhat agree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_07,I like driving a nice car,5,strongly agree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_07,I like driving a nice car,6,No opinion,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_07,I like driving a nice car,7,"Not asked, person is younger than 17 years old",Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_08,The car gives me a feeling of freedom,1,strongly disagree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_08,The car gives me a feeling of freedom,2,Somewhat disagree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_08,The car gives me a feeling of freedom,3,Neutral,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_08,The car gives me a feeling of freedom,4,Somewhat agree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_08,The car gives me a feeling of freedom,5,strongly agree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_08,The car gives me a feeling of freedom,6,No opinion,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_08,The car gives me a feeling of freedom,7,"Not asked, person is younger than 17 years old",Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_09,The car makes my life easier,1,strongly disagree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_09,The car makes my life easier,2,Somewhat disagree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_09,The car makes my life easier,3,Neutral,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_09,The car makes my life easier,4,Somewhat agree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_09,The car makes my life easier,5,strongly agree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_09,The car makes my life easier,6,No opinion,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_09,The car makes my life easier,7,"Not asked, person is younger than 17 years old",Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_10,The car offers me protection against bad weather,1,strongly disagree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_10,The car offers me protection against bad weather,2,Somewhat disagree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_10,The car offers me protection against bad weather,3,Neutral,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_10,The car offers me protection against bad weather,4,Somewhat agree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_10,The car offers me protection against bad weather,5,strongly agree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_10,The car offers me protection against bad weather,6,No opinion,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_10,The car offers me protection against bad weather,7,"Not asked, person is younger than 17 years old",Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_11,The car offers privacy,1,strongly disagree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_11,The car offers privacy,2,Somewhat disagree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_11,The car offers privacy,3,Neutral,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_11,The car offers privacy,4,Somewhat agree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_11,The car offers privacy,5,strongly agree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_11,The car offers privacy,6,No opinion,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_11,The car offers privacy,7,"Not asked, person is younger than 17 years old",Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_12,By car I can easily visit friends and family,1,strongly disagree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_12,By car I can easily visit friends and family,2,Somewhat disagree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_12,By car I can easily visit friends and family,3,Neutral,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_12,By car I can easily visit friends and family,4,Somewhat agree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_12,By car I can easily visit friends and family,5,strongly agree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_12,By car I can easily visit friends and family,6,No opinion,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_12,By car I can easily visit friends and family,7,"Not asked, person is younger than 17 years old",Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_13,I use the car for outings and holidays,1,strongly disagree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_13,I use the car for outings and holidays,2,Somewhat disagree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_13,I use the car for outings and holidays,3,Neutral,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_13,I use the car for outings and holidays,4,Somewhat agree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_13,I use the car for outings and holidays,5,strongly agree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_13,I use the car for outings and holidays,6,No opinion,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_13,I use the car for outings and holidays,7,"Not asked, person is younger than 17 years old",Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_14,The car makes it easy to take stuff with you,1,strongly disagree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_14,The car makes it easy to take stuff with you,2,Somewhat disagree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_14,The car makes it easy to take stuff with you,3,Neutral,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_14,The car makes it easy to take stuff with you,4,Somewhat agree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_14,The car makes it easy to take stuff with you,5,strongly agree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_14,The car makes it easy to take stuff with you,6,No opinion,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_14,The car makes it easy to take stuff with you,7,"Not asked, person is younger than 17 years old",Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_15,I only use the car when it is really necessary,1,strongly disagree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_15,I only use the car when it is really necessary,2,Somewhat disagree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_15,I only use the car when it is really necessary,3,Neutral,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_15,I only use the car when it is really necessary,4,Somewhat agree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_15,I only use the car when it is really necessary,5,strongly agree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_15,I only use the car when it is really necessary,6,No opinion,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_15,I only use the car when it is really necessary,7,"Not asked, person is younger than 17 years old",Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_16,The car gives me the freedom to go wherever I want,1,strongly disagree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_16,The car gives me the freedom to go wherever I want,2,Somewhat disagree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_16,The car gives me the freedom to go wherever I want,3,Neutral,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_16,The car gives me the freedom to go wherever I want,4,Somewhat agree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_16,The car gives me the freedom to go wherever I want,5,strongly agree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_16,The car gives me the freedom to go wherever I want,6,No opinion,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_16,The car gives me the freedom to go wherever I want,7,"Not asked, person is younger than 17 years old",Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_17,By car I can plan my own route,1,strongly disagree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_17,By car I can plan my own route,2,Somewhat disagree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_17,By car I can plan my own route,3,Neutral,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_17,By car I can plan my own route,4,Somewhat agree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_17,By car I can plan my own route,5,strongly agree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_17,By car I can plan my own route,6,No opinion,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_17,By car I can plan my own route,7,"Not asked, person is younger than 17 years old",Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_18,I love my car,1,strongly disagree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_18,I love my car,2,Somewhat disagree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_18,I love my car,3,Neutral,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_18,I love my car,4,Somewhat agree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_18,I love my car,5,strongly agree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_18,I love my car,6,No opinion,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_18,I love my car,7,"Not asked, person is younger than 17 years old",Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_19,I feel safe in my car,1,strongly disagree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_19,I feel safe in my car,2,Somewhat disagree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_19,I feel safe in my car,3,Neutral,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_19,I feel safe in my car,4,Somewhat agree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_19,I feel safe in my car,5,strongly agree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_19,I feel safe in my car,6,No opinion,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_19,I feel safe in my car,7,"Not asked, person is younger than 17 years old",Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_20,I like the engine sound of my car,1,strongly disagree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_20,I like the engine sound of my car,2,Somewhat disagree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_20,I like the engine sound of my car,3,Neutral,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_20,I like the engine sound of my car,4,Somewhat agree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_20,I like the engine sound of my car,5,strongly agree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_20,I like the engine sound of my car,6,No opinion,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_20,I like the engine sound of my car,7,"Not asked, person is younger than 17 years old",Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_21,My car suits me,1,strongly disagree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_21,My car suits me,2,Somewhat disagree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_21,My car suits me,3,Neutral,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_21,My car suits me,4,Somewhat agree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_21,My car suits me,5,strongly agree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_21,My car suits me,6,No opinion,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_21,My car suits me,7,"Not asked, person is younger than 17 years old",Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_22,My car is always available,1,strongly disagree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_22,My car is always available,2,Somewhat disagree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_22,My car is always available,3,Neutral,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_22,My car is always available,4,Somewhat agree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_22,My car is always available,5,strongly agree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_22,My car is always available,6,No opinion,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_22,My car is always available,7,"Not asked, person is younger than 17 years old",Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_23,"Thanks to my car, I am not dependent on others",1,strongly disagree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_23,"Thanks to my car, I am not dependent on others",2,Somewhat disagree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_23,"Thanks to my car, I am not dependent on others",3,Neutral,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_23,"Thanks to my car, I am not dependent on others",4,Somewhat agree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_23,"Thanks to my car, I am not dependent on others",5,strongly agree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_23,"Thanks to my car, I am not dependent on others",6,No opinion,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_23,"Thanks to my car, I am not dependent on others",7,"Not asked, person is younger than 17 years old",Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_24,With my car I can distinguish myself from others,1,strongly disagree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_24,With my car I can distinguish myself from others,2,Somewhat disagree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_24,With my car I can distinguish myself from others,3,Neutral,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_24,With my car I can distinguish myself from others,4,Somewhat agree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_24,With my car I can distinguish myself from others,5,strongly agree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_24,With my car I can distinguish myself from others,6,No opinion,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_24,With my car I can distinguish myself from others,7,"Not asked, person is younger than 17 years old",Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_25,My car is a means to express myself to others,1,strongly disagree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_25,My car is a means to express myself to others,2,Somewhat disagree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_25,My car is a means to express myself to others,3,Neutral,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_25,My car is a means to express myself to others,4,Somewhat agree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_25,My car is a means to express myself to others,5,strongly agree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_25,My car is a means to express myself to others,6,No opinion,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_25,My car is a means to express myself to others,7,"Not asked, person is younger than 17 years old",Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_26,I regularly use my car to pick up or drop others off,1,strongly disagree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_26,I regularly use my car to pick up or drop others off,2,Somewhat disagree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_26,I regularly use my car to pick up or drop others off,3,Neutral,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_26,I regularly use my car to pick up or drop others off,4,Somewhat agree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_26,I regularly use my car to pick up or drop others off,5,strongly agree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_26,I regularly use my car to pick up or drop others off,6,No opinion,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_26,I regularly use my car to pick up or drop others off,7,"Not asked, person is younger than 17 years old",Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
LEEFTIJD,<none>,999999999,<none>,Scale,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
DEELNAMEHH,Participation on household level (starting year),999999999,,Scale,Data_HouseHold,MPNWAVE6_HHdata_North-Holland,0
IMPHHDATA,Imputation household characteristics,0,"no household questionnaire, did not participate in 2017",Nominal,Data_HouseHold,MPNWAVE6_HHdata_North-Holland,0
IMPHHDATA,Imputation household characteristics,1,"no household questionnaire, imputation of household characteristics 2017",Nominal,Data_HouseHold,MPNWAVE6_HHdata_North-Holland,0
IMPHHDATA,Imputation household characteristics,2,household questionnaire is completed,Nominal,Data_HouseHold,MPNWAVE6_HHdata_North-Holland,0
STED_GM,Urbanity (municipal level),1,Very highly urbanized (2500 or more inhabitants/km²),Nominal,Data_HouseHold,MPNWAVE6_HHdata_North-Holland,0
STED_GM,Urbanity (municipal level),2,Highly urbanized (1500 to 2500 inhabitants/km²),Nominal,Data_HouseHold,MPNWAVE6_HHdata_North-Holland,0
STED_GM,Urbanity (municipal level),3,Moderately urbanized (1000 to 1500 inhabitants/km²),Nominal,Data_HouseHold,MPNWAVE6_HHdata_North-Holland,0
STED_GM,Urbanity (municipal level),4,Low urbanization (500 to 1000 inhabitants/km²),Nominal,Data_HouseHold,MPNWAVE6_HHdata_North-Holland,0
STED_GM,Urbanity (municipal level),5,Non-urbanized area (Less than 500 inhabitants/km²),Nominal,Data_HouseHold,MPNWAVE6_HHdata_North-Holland,0
PROV,Province municipality of residence,20,Groningen,Nominal,Data_HouseHold,MPNWAVE6_HHdata_North-Holland,0
PROV,Province municipality of residence,21,Friesland,Nominal,Data_HouseHold,MPNWAVE6_HHdata_North-Holland,0
PROV,Province municipality of residence,22,Drenthe,Nominal,Data_HouseHold,MPNWAVE6_HHdata_North-Holland,0
PROV,Province municipality of residence,23,Overijssel,Nominal,Data_HouseHold,MPNWAVE6_HHdata_North-Holland,0
PROV,Province municipality of residence,24,Flevoland,Nominal,Data_HouseHold,MPNWAVE6_HHdata_North-Holland,0
PROV,Province municipality of residence,25,Gelderland,Nominal,Data_HouseHold,MPNWAVE6_HHdata_North-Holland,0
PROV,Province municipality of residence,26,Utrecht,Nominal,Data_HouseHold,MPNWAVE6_HHdata_North-Holland,0
PROV,Province municipality of residence,27,North-Holland,Nominal,Data_HouseHold,MPNWAVE6_HHdata_North-Holland,0
PROV,Province municipality of residence,28,South-Holland,Nominal,Data_HouseHold,MPNWAVE6_HHdata_North-Holland,0
PROV,Province municipality of residence,29,Zeeland,Nominal,Data_HouseHold,MPNWAVE6_HHdata_North-Holland,0
PROV,Province municipality of residence,30,North-Brabant,Nominal,Data_HouseHold,MPNWAVE6_HHdata_North-Holland,0
PROV,Province municipality of residence,31,Limburg,Nominal,Data_HouseHold,MPNWAVE6_HHdata_North-Holland,0
COROP,Corop Area municipality of residence,1,East-Groningen,Nominal,Data_HouseHold,MPNWAVE6_HHdata_North-Holland,0
COROP,Corop Area municipality of residence,2,Delfzijl and surroundings,Nominal,Data_HouseHold,MPNWAVE6_HHdata_North-Holland,0
COROP,Corop Area municipality of residence,3,Other Groningen,Nominal,Data_HouseHold,MPNWAVE6_HHdata_North-Holland,0
COROP,Corop Area municipality of residence,4,North-Friesland,Nominal,Data_HouseHold,MPNWAVE6_HHdata_North-Holland,0
COROP,Corop Area municipality of residence,5,Southwest-Friesland,Nominal,Data_HouseHold,MPNWAVE6_HHdata_North-Holland,0
COROP,Corop Area municipality of residence,6,Southeast-Friesland,Nominal,Data_HouseHold,MPNWAVE6_HHdata_North-Holland,0
COROP,Corop Area municipality of residence,7,North-Drenthe,Nominal,Data_HouseHold,MPNWAVE6_HHdata_North-Holland,0
COROP,Corop Area municipality of residence,8,Southeast-Drenthe,Nominal,Data_HouseHold,MPNWAVE6_HHdata_North-Holland,0
COROP,Corop Area municipality of residence,9,Southwest-Drenthe,Nominal,Data_HouseHold,MPNWAVE6_HHdata_North-Holland,0
COROP,Corop Area municipality of residence,10,North-Overijssel,Nominal,Data_HouseHold,MPNWAVE6_HHdata_North-Holland,0
